

,,,,,,,,,,,,,Experimental Statistics,,,
,,,Statutory homelessness flows tables 2018-19,,,,,,,,,,,,,
,,Outcomes for homelessness cases first owed a prevention or relief duty between 3rd April 2018 and 31st March 2019,,,,,,,,,,,,,,
,,,England,,,,,,,,,,,,,
,,,Last updated: 29 October 2020,,,,,,,,,,,,,


,,Flows information on households initially assessed as owed a prevention or relief duty in 2018-19,,,,,,,,,,,,,,
,,Table No. ,Subject,,,,,,,,,Geography,,,,
,,F1,"England-level HRA household flows, by cohort",,,,,,,,,National,,,,
,,F2,Local authority-level HRA household flows - all households,,,,,,,,,Local authority,,,,
,,F3,Local authority-level data quality and case exclusions from flows,,,,,,,,,Local authority,,,,

,,Background and technical notes,,,,,,,,,,,,,,
,,"These tables show flow of households through the new homelessness duties since the introduction of the Homelessness Reduction Act in April 2018. It concerns only cases initially assessed as owed a prevention or relief duty between April 2018 and March 2019, and how these cases progressed through the duties up to a main duty decision, where applicable, at any point up to 31st March 2020. 

Flows do not indicate the length of time taken for each case – this varies, some lasting a day and others the full two-year period. As the prevention and relief duties are intended to last up to 56 days , it is expected that all cases that first presented in 2018-19 should have reached a main duty decision by now (where applicable). The outcomes for cases beyond the initial prevention or relief duty owed assessment will not match the outcomes in the published 2018-19. This is because the 2-4 month duration of cases means that many cases will not have reached an endpoint or main duty acceptance until 2019-20.

In this pack there are cohort breakdowns of the following circumstances of households that approached for assistance during 2018-19.

•All households(Any household owed an initial prevention or relief duty in 2018-19 that ended by the end of March 2020)
•Families (Households with one or more children)
•Domestic abuse (Reason for loss of last settled home)
•Single households (Households without children) 
•Single males 18-34 (One person households that contain a male who was between 18-34 inclusive when their homelessness duties came to an end)
•Single females 18-34(One person households that contain a female who was between 18-34 inclusive when their homelessness duties came to an end)
•Rough sleepers (Households whose current accommodation at the time of approach was sleeping rough in the judgement of the assessor)
•Prison leavers (Households whose reason for loss of settled accommodation was homeless on Departure from custody)
•Main applicants aged 16/17 (Households led by a main applicant who was 16/17 when their homelessness duties came to an end)
•Care leavers aged 18+ (Households with a support need due to a care leaver aged 18+)

Local authorities report whole case updates via H-CLIC each quarter until a case is closed. The data flows in this document are produced using the last reported version of a case. In some circumstances this means that the data published in the assessments tables A1-A11 may differ slightly from the totals seen in the latest data. This can be the result of a review of the decisions made on a case or for a small number of authorities some reporting issues. Reviews can result in more household outcomes than households in the quarterly data. Data omissions can result in inconsistencies between first reported and latest version of information on a case. For transparency, a quality section has been included in table F3 of this tables pack.

In addition to the above omissions data included in these flows packs only cases that followed the routing requirements of the H-CLIC data specification have been included. This means that a number of cases have not been represented where duties were owed or decisions expected but this information was not provided. These include prevention duties that have no end, relief duties that have no end and main duty decisions that were expected following a homeless relief that were not reported. For transparency these omissions are included in table F3. The routing pathways of a case are shown in the H-CLIC guidance document and the quarterly statistics publication.",,,,,,,,,,,,,,




,,More information on data quality and limitations can be found in the written statistical release and technical notes:,,,,,,,,,,,,,,
,,https://www.gov.uk/government/collections/homelessness-statistics,,,,,,,,,,,,,,

,,Forthcoming Releases:,,,,,,,,,,,,Responsible Analysts: Homelessness statistics,,
,,Statutory Homelessness (Apr-Jun 2020): Autumn/Winter 2020,,,,,,,,,,,,Statistical enquiries: (Office hours) 0303 444 2867  Homelessnessstats@communities.gov.uk,,
,,Rough Sleeping statistics (2020): Winter 2020/21,,,,,,,,,,,,Media Enquiries: 0303 444 1209,,



"Table F1 - Households initially assessed as owed a homelessness duty between April 2018 and March 2019, and whose case had closed or received a main duty decision as of March 2020, by cohort
England, April 2018 to March 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Number of households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All households2,Families / Households with children3,Domestic Abuse4,Single households5,Single males6,Single males 18-347,Single females 18-348,Sleeping rough on approach9,Departure from custody10,Main applicant aged 16/17,Care leaver aged 18+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total initially assessed as owed a duty1," 222,580"," 79,620"," 19,360"," 142,900"," 79,940"," 36,280"," 25,920"," 5,750"," 3,470"," 2,000"," 5,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of which the number of households that were…,,,,,,,,,, -00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single adult males," 79,940",-," 1,940"," 79,940"," 79,940"," 36,280",-," 4,510"," 3,040", 870," 2,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single adults," 128,640",-," 5,400"," 128,640"," 79,940"," 36,280"," 25,920"," 5,400"," 3,410"," 1,820"," 4,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single households," 142,900",-," 9,360"," 142,900"," 79,940"," 36,280"," 25,920"," 5,650"," 3,440"," 1,870"," 4,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Families," 79,620"," 79,620"," 10,000",-,-,-,-, 110, 30, 130, 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Initial assessments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threatened with homelessness within 56 days - owed Prevention duty," 124,030"," 54,650"," 7,640"," 69,340"," 32,600"," 13,720"," 13,640", -00, 870," 1,180"," 1,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeless - owed Relief duty," 98,550"," 24,970"," 11,720"," 73,570"," 47,340"," 22,550"," 12,280"," 5,750"," 2,590", 810," 3,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Households with accommodation secured at end of Prevention duty," 72,130"," 31,280"," 4,510"," 40,830"," 18,160"," 7,040"," 8,060", -00, 320, 880," 1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private rented sector11," 29,140"," 15,020"," 1,290"," 14,110"," 5,980"," 1,870"," 2,290", -00, 110, 40, 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council or Registered Provider tenancy," 23,110"," 10,460"," 1,830"," 12,640"," 5,110"," 1,540"," 2,300", -00, 30, 40, 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social rented supported housing or hostel," 6,840"," 1,200", 370," 5,640"," 3,300"," 1,790"," 1,290", -00, 120, 340, 280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staying with family or friends," 8,430"," 3,020", 520," 5,400"," 2,440"," 1,300"," 1,550", -00, 20, 390, 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other / not reported12," 4,620"," 1,570", 500," 3,040"," 1,330", 540, 630, -00, 40, 60, 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Households whose Prevention duty ended for Other reason13," 29,860"," 10,200"," 2,040"," 19,650"," 10,270"," 5,060"," 3,950", -00, 310, 230, 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households homeless at end of Prevention duty - owed Relief duty," 22,040"," 13,170"," 1,080"," 8,860"," 4,170"," 1,620"," 1,630", -00, 240, 80, 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Households with accommodation secured at end of Relief duty16," 49,910"," 13,180"," 5,400"," 36,730"," 22,980"," 10,290"," 6,390"," 2,520"," 1,090", 640," 1,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private rented sector," 12,490"," 3,840"," 1,200"," 8,650"," 5,540"," 2,140"," 1,160", 580, 240, 20, 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council or Registered Provider tenancy," 11,370"," 4,570"," 1,670"," 6,800"," 3,650"," 1,330"," 1,270", 240, 80, 320, 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social rented supported housing or hostel," 11,680", 780, 830," 10,900"," 7,600"," 3,950"," 1,900"," 1,020", 480, 30, 570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staying with family or friends," 2,980", 700, 320," 2,280"," 1,330", 750, 560, 80, 40, 90, 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other / not reported12," 11,400"," 3,300"," 1,390"," 8,100"," 4,870"," 2,130"," 1,510", 600, 260, 180, 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Households whose Relief duty ended for Other reason14,16"," 28,730"," 5,340"," 3,210"," 23,390"," 15,430"," 8,000"," 3,760"," 1,980"," 1,100", 170, 990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Households homeless at end of Relief duty - due a Main duty decision16," 41,950"," 19,620"," 4,190"," 22,310"," 13,100"," 5,890"," 3,770"," 1,250", 640, 70, 960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of relief duties that ended with homelessness...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main duty acceptance (unintentionally homeless and priority need)," 27,870"," 17,450"," 3,600"," 10,410"," 4,790"," 1,760"," 2,320", 440, 220, 60, 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No main duty owed," 14,070"," 2,180", 590," 11,900"," 8,320"," 4,130"," 1,450", 810, 430, 20, 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of households not owed a main duty...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeless and no priority need," 10,160", 270, 410," 9,890"," 7,060"," 3,620"," 1,190", 670, 310, 10, 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intentionally homeless and priority need," 2,950"," 1,620", 60," 1,330", 850, 310, 150, 100, 90, 10, 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other15, 970, 290, 120, 680, 410, 200, 110, 50, 30, -00, 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - The starting number of households include only cases that have routed to completion. Local authority level omissions are included in table F3. Cohort specific breakdowns include the same case omissions where applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - All households includes a very small number of households where household type was difficult to determine and so are not classifiable as single households or families.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 - Families include households with one or more adults and one or more dependent children. Often referred to as households with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 - Domestic abuse refers to households that have experienced domestic abuse and that is their reason for losing their settled accommodation (table A2 of quarterly statistics),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 - Single households includes any household without dependent children. These can be one or more adults.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 - Single adult males include any household with only one male aged 16 or over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 - Single adult males that were aged between 18-34 (inclusive) when their homelessness duties ended or resulted in a main duty acceptance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 - Single adult females, one female, that were aged between 18-34 (inclusive) when their homelessness duties ended or resulted in a main duty acceptance. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 - Rough sleepers are defined as those whose current accommodation at the time they approached the local authority was 'rough sleeping' in judgement of the assessor. They relate to table A4 of the quarterly statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 - Prison leavers are classified as those whose reason for loss of last settled accommodation or more accurately for becoming homeless is - 'homeless on departure from institution - custody.' These breakdowns relate to table A2 of the quarterly statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 - Private rented sector accommodation outcomes include self contained, HMO and lodging (not with family or friends). These breakdowns can be found in tables P2 and R2 of the quarterly release.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12- Other / not reported accommodation outcomes includes owner occupiers that are too small an outcomes group to represent in flows. These can be found in tables P2 and R2 of the quarterly statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 - Other / not reported reasons for ending a prevention duty can be found in table P1 of the quarterly statistics. They include intentionally homeless, refused suitable accommodation offer, refused to cooperate, contact lost, withdrew application / applicant deceased, 56 days elapsed and no further action and no longer eligible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 - Other includes local connection accepted by another local authority, intentionally homeless from accommodation provided, refused final accommodation, notice served due to refusal to cooperate, contact lost, withdrew application / applicant deceased, no longer eligible and not known / not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 - Other includes: Lost contact prior to assessment, withdrew prior to assessment, not eligible, and not homeless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 - Households whose relief duty ends match the total initial relief duties owed plus the number of households that are homeless at the end of prevention and owed a relief duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 - Households identified as requiring support as a result of the main applicant and/or any household members being a care leaver aged 18+.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Table F2 - Households initially assessed as owed a homlessness duty between April 2018 and March 2019 case flows, by local authority
England, April 2018 to March 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Initial assessment of homelessness,,,,Outcome of Prevention duty,,,,,,,,,,Outcome of Relief duty6,,,,,,,,,,Main duty decision,,,,,
,,,,Households initially assessed as owed a homelessness duty,,,,Households with accommodation secured at end of Prevention duty,,,,,,,Households whose Prevention duty ended for Other reason - duties end5,Households homeless at end of Prevention duty - owed Relief duty,,Households with accommodation secured at end of Relief duty,,,,,,,Households whose Relief duty ended for Other reason - duties end7,Households homeless at end of Relief duty - due a Main duty decision,,Assessed as unintentionally homeless and priority need - owed Main duty,,Households not owed a Main duty,,,
,,,,"Total assessed as owed a duty1,2",Of which:,,,Total with accommodation secured at Prevention - duties end,Of which:,,,,,,,,,Total with accommodation secured at Relief - duties end,Of which:,,,,,,,,,,,Total not owed a Main duty - duties end,Of which:,,
,,,,,Threatened with homelessness within 56 days - owed Prevention duty,Homeless - owed Relief duty,,,Private rented sector3,Council or Registered Provider tenancy,Social rented supported housing or hostel,Staying with family or friends,Other / not reported4,,,,,,Private rented sector3,Council or Registered Provider tenancy,Social rented supported housing or hostel,Staying with family or friends,Other / not reported4,,,,,,,,Homeless and no priority need,Intentionally homeless and priority need,Other8
